,cod_cust_id,dt_fpy,atr_cust_age,dsc_edu_deg,amt_gms,atr_gla,flg_children,amt_cmv,rt_cr,amt_plob_motor,amt_plob_household,amt_plob_health,amt_plob_life,amt_plob_wcomp,atr_edu_deg,amt_premium_total,atr_fpy_to_date,rt_plob_life,rt_plob_household,rt_plob_motor,rt_plob_health,rt_plob_wcomp
0,1,1985.0,34.0,2 - High School,4354.0,1.0,1.0,380.97,0.39003245387343,375.85,79.45,146.36,47.01,16.89,2,665.5600000000001,14,0.07063224953422681,0.11937315944467816,0.5647124226215517,0.21990504237033476,0.025377126029208486
1,2,1981.0,21.0,2 - High School,1353.0,4.0,1.0,-131.13,1.11650346886801,77.46,416.2,116.69,194.48,106.13,2,910.9599999999999,18,0.21348906647931853,0.4568806533766576,0.08503117590234478,0.12809563537367175,0.11650346886800739
2,3,1991.0,46.0,1 - Basic,4554.0,3.0,0.0,504.67,0.284809613826627,206.15,224.5,124.58,86.35,99.02,1,740.6,8,0.11659465298406696,0.30313259519308666,0.2783553875236295,0.16821496084256007,0.13370240345665677
3,4,1990.0,35.0,3 - BSc/MSc,2197.0,4.0,1.0,-16.9899999999999,0.986665112872078,182.48,43.35,311.17,35.34,28.34,3,600.68,9,0.05883332223480057,0.07216820936272225,0.30378903908903243,0.5180295664913099,0.04717986282213492
4,5,1986.0,43.0,3 - BSc/MSc,3526.0,4.0,1.0,35.23,0.904281355285741,338.62,47.8,182.59,18.78,41.45,3,629.24,13,0.02984552793846545,0.0759646557752209,0.5381412497616171,0.2901754497489034,0.06587311677579302
5,6,1986.0,60.0,2 - High School,5132.0,4.0,1.0,-24.33,0.998862710483433,440.75,18.9,114.8,7.0,7.67,2,589.1199999999999,13,0.011882129277566543,0.03208174904942966,0.748149782726779,0.19486692015209128,0.013019418794133625
6,7,1979.0,73.0,2 - High School,8205.0,4.0,0.0,-66.01,1.05053728989008,156.92,295.6,317.95,14.67,26.34,2,811.4800000000001,20,0.01807807955833785,0.36427268694237686,0.19337506777739435,0.39181495539015126,0.032459210331739534
7,8,1988.0,42.0,2 - High School,3485.0,4.0,1.0,-144.91,1.13179240305988,248.27,397.3,144.36,66.68,53.23,2,909.84,11,0.07328761100852897,0.4366701837685747,0.2728721533456432,0.15866525982590346,0.05850479205134968
8,9,1981.0,38.0,3 - BSc/MSc,3723.0,1.0,1.0,356.53,0.355055192115895,344.51,18.35,210.04,8.78,9.89,3,591.5699999999999,18,0.0148418614872289,0.03101915242490323,0.5823655695860169,0.35505519211589504,0.016718224385956017
9,10,1976.0,68.0,3 - BSc/MSc,7684.0,1.0,0.0,-119.35,1.12450514647664,209.26,182.25,271.94,39.23,55.12,3,757.8000000000001,23,0.051768276590129315,0.2404988123515439,0.2761414621272103,0.3588545790446028,0.07273686988651358
